player,Value,team,nation,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,PrgC,PrgP,Prgr,Gls/90,Ast/90,xG/90,xGA/90,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP/passing,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ%,Tkld%,Carries,ProDist,ProgC,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Lost,Blocks,Sh,Pass,Int,SCA,SCA90,GCA,GCA90,Fls,Fld,Off,Crs,Recov,Won,Won%,GA90,Save%,CS%,PSave%
Morgan Gibbs-White,€61.7M,"2024-2025 Nottingham Forest Stats
(Premier League)",eng ENG,MF,25,28.0,28.0,2288.0,5.0,7.0,8.0,1.0,4.3,4.4,62.0,139.0,112.0,0.2,0.28,0.17,0.17,34.0,0.67,0.1,16.7,821.0,78.5,12615.0,85.1,82.0,59.0,44.0,46.0,35.0,7.0,139.0,1350.0,30.0,159.0,675.0,537.0,83.0,26.0,39.4,46.5,760.0,4410.0,62.0,12.0,62.0,36.0,1015.0,112.0,37.0,17.0,43.0,14.0,4.0,10.0,17.0,97.0,3.82,16.0,0.63,31.0,34.0,7.0,36.0,111.0,34.0,44.2,N/a,N/a,N/a,N/a
Milos Kerkez,€61.6M,"2024-2025 Bournemouth Stats
(Premier League)",hu HUN,DF,21,31.0,31.0,2717.0,2.0,5.0,4.0,0.0,0.5,3.2,85.0,130.0,151.0,0.07,0.17,0.02,0.11,29.4,0.17,0.12,20.4,1060.0,75.8,16755.0,89.5,79.2,37.1,27.0,56.0,32.0,20.0,130.0,1727.0,93.0,443.0,734.0,571.0,55.0,34.0,41.5,34.1,869.0,5038.0,85.0,14.0,41.0,15.0,930.0,151.0,46.0,25.0,42.0,32.0,11.0,21.0,38.0,67.0,2.22,9.0,0.3,27.0,41.0,1.0,102.0,142.0,20.0,32.3,N/a,N/a,N/a,N/a
Curtis Jones,€61.6M,"2024-2025 Liverpool Stats
(Premier League)",eng ENG,"MF,DF",24,27.0,16.0,1414.0,3.0,3.0,3.0,1.0,4.1,1.0,21.0,83.0,67.0,0.19,0.19,0.26,0.06,41.4,0.76,0.1,15.6,798.0,93.3,11606.0,97.0,93.0,73.7,19.0,14.0,16.0,0.0,83.0,1011.0,26.0,155.0,533.0,329.0,50.0,22.0,62.5,31.3,612.0,2932.0,21.0,5.0,22.0,29.0,759.0,67.0,33.0,17.0,12.0,15.0,7.0,8.0,5.0,40.0,2.55,7.0,0.45,15.0,21.0,0.0,6.0,74.0,13.0,52.0,N/a,N/a,N/a,N/a
João Pedro,€61.3M,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",br BRA,"FW,MF",23,26.0,22.0,1888.0,10.0,6.0,4.0,0.0,8.9,4.8,64.0,76.0,123.0,0.48,0.29,0.42,0.23,36.6,0.72,0.12,17.1,465.0,72.8,6612.0,78.9,74.6,66.7,29.0,37.0,35.0,4.0,76.0,903.0,10.0,55.0,373.0,489.0,120.0,10.0,34.6,52.6,590.0,3654.0,64.0,29.0,70.0,37.0,708.0,123.0,15.0,11.0,42.0,12.0,0.0,12.0,8.0,70.0,3.34,9.0,0.43,23.0,45.0,2.0,21.0,57.0,40.0,48.8,N/a,N/a,N/a,N/a
Bruno Fernandes,€61.2M,"2024-2025 Manchester United Stats
(Premier League)",pt POR,MF,30,31.0,31.0,2636.0,8.0,9.0,4.0,2.0,8.8,6.8,60.0,254.0,113.0,0.27,0.31,0.3,0.23,30.3,0.79,0.07,21.7,1421.0,74.9,25059.0,86.3,80.1,52.7,77.0,56.0,60.0,9.0,254.0,2245.0,58.0,379.0,1063.0,825.0,69.0,74.0,41.3,49.2,1300.0,6086.0,60.0,10.0,35.0,37.0,1566.0,113.0,73.0,44.0,26.0,30.0,4.0,26.0,24.0,156.0,5.33,12.0,0.41,26.0,37.0,2.0,162.0,182.0,20.0,43.5,N/a,N/a,N/a,N/a
Pedro Neto,€60.4M,"2024-2025 Chelsea Stats
(Premier League)",pt POR,FW,25,29.0,18.0,1743.0,3.0,4.0,8.0,0.0,2.5,5.4,101.0,49.0,200.0,0.15,0.21,0.13,0.28,29.2,0.72,0.06,19.1,558.0,78.8,9033.0,92.8,82.1,48.6,40.0,48.0,30.0,19.0,49.0,912.0,7.0,76.0,261.0,587.0,93.0,16.0,29.4,45.9,598.0,4998.0,101.0,36.0,35.0,24.0,671.0,200.0,18.0,9.0,23.0,11.0,1.0,10.0,8.0,78.0,4.03,7.0,0.36,17.0,26.0,3.0,113.0,62.0,9.0,28.1,N/a,N/a,N/a,N/a
Manuel Ugarte Ribeiro,€60.3M,"2024-2025 Manchester United Stats
(Premier League)",uy URU,MF,24,24.0,19.0,1532.0,1.0,0.0,9.0,0.0,0.8,0.6,9.0,49.0,18.0,0.06,0.0,0.05,0.03,18.8,0.18,0.06,22.0,650.0,87.1,10629.0,89.3,92.6,73.6,7.0,9.0,9.0,3.0,49.0,966.0,40.0,279.0,538.0,165.0,14.0,56.0,51.7,34.5,545.0,2190.0,9.0,1.0,27.0,20.0,588.0,18.0,67.0,42.0,17.0,26.0,3.0,23.0,24.0,25.0,1.47,2.0,0.12,35.0,28.0,0.0,7.0,107.0,17.0,50.0,N/a,N/a,N/a,N/a
Dejan Kulusevski,€60.3M,"2024-2025 Tottenham Hotspur Stats
(Premier League)",se SWE,"MF,FW",24,28.0,24.0,2170.0,7.0,4.0,3.0,0.0,4.1,6.1,115.0,118.0,201.0,0.29,0.17,0.17,0.25,37.2,0.66,0.16,14.7,615.0,73.5,8625.0,86.1,77.6,40.3,63.0,66.0,52.0,6.0,118.0,1183.0,21.0,134.0,394.0,679.0,146.0,47.0,32.7,59.8,774.0,5855.0,115.0,37.0,72.0,70.0,841.0,201.0,40.0,23.0,11.0,25.0,3.0,22.0,12.0,122.0,5.06,9.0,0.37,40.0,33.0,5.0,88.0,111.0,9.0,45.0,N/a,N/a,N/a,N/a
Rasmus Højlund,€60M,"2024-2025 Manchester United Stats
(Premier League)",dk DEN,FW,22,27.0,18.0,1585.0,3.0,0.0,2.0,0.0,3.3,1.2,25.0,16.0,80.0,0.17,0.0,0.19,0.07,39.1,0.51,0.13,13.5,204.0,77.3,2199.0,83.4,72.9,75.0,13.0,12.0,5.0,1.0,16.0,411.0,5.0,26.0,208.0,183.0,52.0,4.0,26.9,65.4,257.0,1273.0,25.0,15.0,56.0,26.0,326.0,80.0,3.0,1.0,74.0,4.0,0.0,4.0,1.0,30.0,1.7,1.0,0.06,14.0,25.0,9.0,6.0,28.0,20.0,21.3,N/a,N/a,N/a,N/a
Gabriel Martinelli,€60M,"2024-2025 Arsenal Stats
(Premier League)",br BRA,"FW,MF",23,27.0,19.0,1794.0,6.0,4.0,1.0,0.0,5.1,4.3,102.0,41.0,235.0,0.3,0.2,0.26,0.22,44.7,0.85,0.16,12.4,387.0,70.2,5670.0,81.8,67.9,55.8,33.0,27.0,28.0,13.0,41.0,793.0,13.0,79.0,207.0,519.0,149.0,20.0,29.7,54.5,526.0,3965.0,102.0,51.0,44.0,33.0,595.0,235.0,19.0,14.0,28.0,10.0,0.0,10.0,3.0,59.0,2.96,5.0,0.25,14.0,17.0,8.0,76.0,66.0,13.0,31.7,N/a,N/a,N/a,N/a
Cristian Romero,€60M,"2024-2025 Tottenham Hotspur Stats
(Premier League)",ar ARG,DF,26,17.0,17.0,1371.0,1.0,0.0,2.0,0.0,1.5,0.6,12.0,66.0,3.0,0.07,0.0,0.1,0.04,53.3,0.53,0.07,9.2,1057.0,89.1,19768.0,91.1,94.5,63.5,7.0,18.0,8.0,1.0,66.0,1333.0,157.0,586.0,689.0,69.0,21.0,28.0,25.0,50.0,873.0,4566.0,12.0,0.0,8.0,5.0,908.0,3.0,33.0,27.0,26.0,18.0,3.0,15.0,21.0,20.0,1.31,4.0,0.26,12.0,12.0,2.0,3.0,85.0,40.0,60.6,N/a,N/a,N/a,N/a
Levi Colwill,€59.8M,"2024-2025 Chelsea Stats
(Premier League)",eng ENG,DF,22,29.0,29.0,2609.0,1.0,1.0,7.0,0.0,1.0,1.1,12.0,121.0,9.0,0.03,0.03,0.04,0.04,21.4,0.1,0.07,10.4,2036.0,89.6,36960.0,92.9,95.0,57.7,14.0,11.0,7.0,3.0,121.0,2506.0,308.0,1158.0,1237.0,120.0,29.0,25.0,62.5,37.5,1416.0,6425.0,12.0,1.0,11.0,7.0,1835.0,9.0,36.0,24.0,46.0,31.0,22.0,9.0,30.0,36.0,1.24,3.0,0.1,37.0,17.0,4.0,13.0,97.0,73.0,61.3,N/a,N/a,N/a,N/a
Darwin Núñez,€59.7M,"2024-2025 Liverpool Stats
(Premier League)",uy URU,FW,25,25.0,8.0,1010.0,5.0,2.0,8.0,0.0,5.0,1.2,20.0,25.0,67.0,0.45,0.18,0.44,0.11,38.7,1.07,0.16,14.3,144.0,70.2,2149.0,80.4,72.9,66.7,9.0,16.0,2.0,0.0,25.0,326.0,10.0,43.0,110.0,183.0,60.0,15.0,38.1,57.1,175.0,939.0,20.0,10.0,21.0,17.0,216.0,67.0,18.0,15.0,29.0,6.0,0.0,6.0,3.0,24.0,2.13,4.0,0.36,26.0,14.0,11.0,2.0,37.0,15.0,34.1,N/a,N/a,N/a,N/a
Destiny Udogie,€59.4M,"2024-2025 Tottenham Hotspur Stats
(Premier League)",it ITA,DF,22,23.0,22.0,1744.0,0.0,1.0,2.0,0.0,0.3,1.4,51.0,117.0,92.0,0.0,0.05,0.02,0.07,20.0,0.05,0.0,15.1,915.0,87.5,13224.0,91.2,90.6,81.5,15.0,38.0,6.0,1.0,117.0,1287.0,57.0,353.0,572.0,376.0,48.0,45.0,40.0,50.0,714.0,4005.0,51.0,11.0,31.0,19.0,778.0,92.0,71.0,44.0,13.0,37.0,5.0,32.0,19.0,33.0,1.7,3.0,0.15,29.0,36.0,2.0,19.0,103.0,13.0,50.0,N/a,N/a,N/a,N/a
Alejandro Garnacho,€59.2M,"2024-2025 Manchester United Stats
(Premier League)",ar ARG,"MF,FW",20,31.0,20.0,1876.0,5.0,1.0,2.0,0.0,6.2,2.8,122.0,47.0,249.0,0.24,0.05,0.3,0.13,37.5,1.3,0.07,16.9,539.0,79.4,7606.0,89.3,82.1,59.1,26.0,62.0,21.0,3.0,47.0,967.0,13.0,113.0,313.0,557.0,141.0,29.0,28.9,61.8,702.0,5356.0,122.0,58.0,51.0,41.0,736.0,249.0,27.0,17.0,22.0,16.0,0.0,16.0,10.0,64.0,3.07,4.0,0.19,9.0,36.0,9.0,42.0,100.0,3.0,12.0,N/a,N/a,N/a,N/a
Marcus Rashford,€58.6M,"2024-2025 Aston Villa Stats
(Premier League)",eng ENG,FW,27,8.0,3.0,360.0,1.0,2.0,0.0,0.0,1.6,2.1,19.0,12.0,40.0,0.25,0.5,0.39,0.52,26.7,1.0,0.07,19.8,107.0,71.3,1613.0,87.7,75.6,34.8,11.0,7.0,8.0,2.0,12.0,201.0,2.0,13.0,44.0,145.0,25.0,4.0,47.4,52.6,119.0,696.0,19.0,14.0,6.0,1.0,140.0,40.0,7.0,4.0,7.0,2.0,0.0,2.0,1.0,25.0,6.25,3.0,0.75,1.0,3.0,1.0,26.0,10.0,1.0,12.5,N/a,N/a,N/a,N/a
Marcus Rashford,€58.6M,"2024-2025 Manchester United Stats
(Premier League)",eng ENG,"FW,MF",27,15.0,12.0,978.0,4.0,1.0,2.0,0.0,1.7,2.1,20.0,21.0,79.0,0.37,0.09,0.16,0.19,56.3,0.83,0.25,16.4,253.0,73.8,3508.0,83.6,65.9,50.0,15.0,19.0,16.0,8.0,21.0,440.0,3.0,35.0,189.0,222.0,34.0,9.0,23.1,66.7,293.0,1694.0,20.0,12.0,14.0,6.0,341.0,79.0,7.0,4.0,7.0,8.0,0.0,8.0,4.0,29.0,2.67,1.0,0.09,8.0,7.0,7.0,27.0,24.0,5.0,41.7,N/a,N/a,N/a,N/a
Diogo Jota,€58.6M,"2024-2025 Liverpool Stats
(Premier League)",pt POR,FW,28,21.0,13.0,1043.0,6.0,3.0,2.0,0.0,6.8,1.8,35.0,31.0,83.0,0.52,0.26,0.59,0.16,31.7,1.12,0.15,12.7,188.0,68.6,2791.0,75.6,73.6,57.9,11.0,21.0,3.0,1.0,31.0,423.0,5.0,27.0,173.0,230.0,84.0,19.0,36.7,60.0,233.0,1395.0,35.0,20.0,35.0,21.0,295.0,83.0,11.0,7.0,27.0,9.0,0.0,9.0,6.0,33.0,2.85,8.0,0.69,16.0,11.0,1.0,8.0,38.0,20.0,42.6,N/a,N/a,N/a,N/a
Bryan Mbeumo,€57.6M,"2024-2025 Brentford Stats
(Premier League)",cm CMR,FW,25,32.0,32.0,2874.0,16.0,5.0,2.0,0.0,10.0,7.1,107.0,120.0,292.0,0.5,0.16,0.31,0.22,45.2,0.88,0.18,17.8,730.0,66.9,11615.0,79.1,73.2,36.3,56.0,60.0,53.0,15.0,120.0,1466.0,45.0,209.0,464.0,820.0,129.0,25.0,43.2,43.2,884.0,5628.0,107.0,62.0,86.0,38.0,996.0,292.0,37.0,23.0,65.0,21.0,3.0,18.0,13.0,119.0,3.73,15.0,0.47,22.0,36.0,11.0,163.0,134.0,31.0,32.3,N/a,N/a,N/a,N/a
James Maddison,€57.3M,"2024-2025 Tottenham Hotspur Stats
(Premier League)",eng ENG,MF,28,30.0,20.0,1764.0,9.0,6.0,6.0,0.0,5.8,4.1,43.0,160.0,92.0,0.46,0.31,0.3,0.21,43.6,0.87,0.23,16.7,1001.0,81.3,16292.0,90.9,86.0,45.9,39.0,39.0,32.0,5.0,160.0,1438.0,25.0,207.0,677.0,567.0,76.0,28.0,41.9,44.6,1010.0,5042.0,43.0,19.0,23.0,24.0,1112.0,92.0,30.0,18.0,7.0,15.0,4.0,11.0,11.0,92.0,4.7,17.0,0.87,31.0,63.0,4.0,95.0,73.0,5.0,41.7,N/a,N/a,N/a,N/a
Ibrahima Konaté,€57.2M,"2024-2025 Liverpool Stats
(Premier League)",fr FRA,DF,25,26.0,25.0,2140.0,1.0,2.0,5.0,0.0,1.6,1.0,21.0,99.0,2.0,0.04,0.08,0.07,0.04,14.3,0.08,0.07,10.4,1442.0,90.4,26603.0,93.6,95.1,54.7,10.0,13.0,8.0,0.0,99.0,1830.0,202.0,787.0,947.0,101.0,18.0,33.0,50.0,25.0,1086.0,4969.0,21.0,0.0,8.0,2.0,1322.0,2.0,35.0,24.0,28.0,27.0,15.0,12.0,11.0,27.0,1.14,7.0,0.29,24.0,17.0,0.0,0.0,74.0,67.0,70.5,N/a,N/a,N/a,N/a
Dean Huijsen,€56.3M,"2024-2025 Bournemouth Stats
(Premier League)",es ESP,DF,20,25.0,20.0,1874.0,2.0,1.0,7.0,0.0,1.7,1.9,31.0,92.0,9.0,0.1,0.05,0.08,0.09,13.3,0.1,0.13,10.2,1006.0,83.6,20544.0,89.1,90.7,62.7,13.0,14.0,7.0,2.0,92.0,1506.0,199.0,709.0,707.0,98.0,28.0,25.0,40.0,60.0,815.0,4913.0,31.0,0.0,14.0,1.0,916.0,9.0,31.0,21.0,37.0,32.0,24.0,8.0,45.0,35.0,1.68,3.0,0.14,24.0,9.0,1.0,11.0,87.0,57.0,60.6,N/a,N/a,N/a,N/a
Pedro Porro,€55.9M,"2024-2025 Tottenham Hotspur Stats
(Premier League)",es ESP,DF,25,30.0,25.0,2373.0,2.0,5.0,4.0,0.0,1.5,3.5,58.0,136.0,95.0,0.08,0.19,0.06,0.13,22.2,0.3,0.06,23.0,1252.0,73.4,21717.0,87.3,79.0,44.5,47.0,37.0,50.0,22.0,136.0,2024.0,122.0,610.0,732.0,694.0,29.0,71.0,33.3,60.6,1071.0,4844.0,58.0,5.0,23.0,16.0,1164.0,95.0,61.0,44.0,22.0,42.0,17.0,25.0,33.0,91.0,3.45,7.0,0.27,24.0,28.0,1.0,168.0,139.0,11.0,33.3,N/a,N/a,N/a,N/a
Trent Alexander-Arnold,€55.4M,"2024-2025 Liverpool Stats
(Premier League)",eng ENG,DF,26,28.0,26.0,2145.0,2.0,6.0,4.0,0.0,1.6,6.7,48.0,204.0,87.0,0.08,0.25,0.07,0.28,18.4,0.29,0.05,23.6,1321.0,73.9,25377.0,90.0,76.0,50.4,50.0,35.0,62.0,20.0,204.0,2044.0,82.0,546.0,902.0,609.0,39.0,99.0,44.8,48.3,1075.0,4978.0,48.0,8.0,19.0,15.0,1299.0,87.0,67.0,47.0,12.0,25.0,8.0,17.0,30.0,92.0,3.86,10.0,0.42,9.0,7.0,1.0,140.0,120.0,3.0,20.0,N/a,N/a,N/a,N/a
Illia Zabarnyi,€55.1M,"2024-2025 Bournemouth Stats
(Premier League)",ua UKR,DF,22,29.0,29.0,2527.0,0.0,0.0,3.0,1.0,1.0,0.5,18.0,104.0,3.0,0.0,0.0,0.03,0.02,0.0,0.0,0.0,8.8,1104.0,80.9,23567.0,89.8,90.6,52.5,10.0,14.0,6.0,0.0,104.0,1652.0,196.0,790.0,829.0,52.0,11.0,42.0,62.5,25.0,1023.0,6487.0,18.0,0.0,14.0,3.0,1020.0,3.0,44.0,30.0,35.0,32.0,19.0,13.0,32.0,26.0,0.93,0.0,0.0,17.0,5.0,0.0,5.0,136.0,63.0,64.3,N/a,N/a,N/a,N/a
Kobbie Mainoo,€54.8M,"2024-2025 Manchester United Stats
(Premier League)",eng ENG,MF,19,19.0,15.0,1294.0,0.0,0.0,5.0,0.0,0.5,1.5,19.0,54.0,36.0,0.0,0.0,0.04,0.11,10.0,0.07,0.0,20.2,589.0,86.4,7845.0,91.7,88.6,74.3,13.0,12.0,9.0,0.0,54.0,859.0,17.0,166.0,487.0,213.0,30.0,33.0,48.8,46.3,532.0,2359.0,19.0,9.0,25.0,30.0,609.0,36.0,37.0,24.0,25.0,15.0,2.0,13.0,17.0,25.0,1.74,1.0,0.07,24.0,19.0,2.0,4.0,72.0,16.0,39.0,N/a,N/a,N/a,N/a
Emile Smith Rowe,€54.6M,"2024-2025 Fulham Stats
(Premier League)",eng ENG,MF,24,28.0,23.0,1805.0,5.0,2.0,2.0,0.0,4.1,1.1,50.0,113.0,106.0,0.25,0.1,0.21,0.05,25.0,0.4,0.16,15.4,803.0,90.2,11521.0,92.4,95.8,69.2,18.0,37.0,13.0,1.0,113.0,1067.0,20.0,148.0,504.0,425.0,51.0,24.0,48.5,45.5,699.0,3431.0,50.0,11.0,31.0,13.0,820.0,106.0,30.0,17.0,16.0,19.0,2.0,17.0,10.0,62.0,3.09,11.0,0.55,17.0,12.0,4.0,12.0,62.0,6.0,27.3,N/a,N/a,N/a,N/a
Jan Paul van Hecke,€52.7M,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",nl NED,DF,24,29.0,28.0,2509.0,1.0,1.0,7.0,1.0,1.3,1.5,50.0,199.0,5.0,0.04,0.04,0.05,0.05,31.3,0.18,0.06,14.1,1741.0,88.5,34428.0,93.5,93.5,66.6,13.0,39.0,15.0,4.0,199.0,2232.0,237.0,955.0,1154.0,142.0,28.0,36.0,40.0,40.0,1471.0,9213.0,50.0,0.0,10.0,7.0,1563.0,5.0,38.0,25.0,45.0,32.0,19.0,13.0,22.0,45.0,1.61,3.0,0.11,22.0,19.0,0.0,10.0,114.0,71.0,61.2,N/a,N/a,N/a,N/a
Anthony Gordon,€52.4M,"2024-2025 Newcastle United Stats
(Premier League)",eng ENG,FW,24,27.0,25.0,2121.0,6.0,5.0,2.0,0.0,7.8,4.9,104.0,88.0,188.0,0.25,0.21,0.33,0.21,28.8,0.64,0.1,16.2,618.0,72.1,9497.0,85.4,77.0,41.1,49.0,52.0,49.0,16.0,88.0,1109.0,16.0,110.0,416.0,601.0,122.0,33.0,37.6,45.2,712.0,5234.0,104.0,54.0,28.0,34.0,793.0,188.0,30.0,17.0,7.0,24.0,2.0,22.0,6.0,96.0,4.08,12.0,0.51,19.0,58.0,7.0,116.0,89.0,5.0,41.7,N/a,N/a,N/a,N/a
Noni Madueke,€52.3M,"2024-2025 Chelsea Stats
(Premier League)",eng ENG,FW,23,26.0,21.0,1601.0,7.0,3.0,3.0,0.0,7.9,3.9,122.0,60.0,194.0,0.39,0.17,0.44,0.22,37.7,1.46,0.1,14.6,420.0,78.2,6210.0,87.5,76.0,58.8,28.0,41.0,32.0,7.0,60.0,775.0,16.0,76.0,210.0,501.0,154.0,32.0,40.5,50.0,521.0,4346.0,122.0,74.0,40.0,23.0,598.0,194.0,19.0,14.0,14.0,13.0,0.0,13.0,8.0,68.0,3.82,8.0,0.45,20.0,21.0,4.0,51.0,62.0,9.0,39.1,N/a,N/a,N/a,N/a
Sandro Tonali,€52.1M,"2024-2025 Newcastle United Stats
(Premier League)",it ITA,MF,24,29.0,21.0,2000.0,3.0,1.0,5.0,0.0,3.5,0.7,30.0,89.0,42.0,0.14,0.05,0.16,0.03,33.3,0.41,0.11,19.0,910.0,82.9,13852.0,89.4,85.6,54.5,12.0,31.0,16.0,3.0,89.0,1322.0,53.0,306.0,737.0,301.0,34.0,40.0,56.7,33.3,725.0,3907.0,30.0,4.0,21.0,23.0,908.0,42.0,43.0,29.0,9.0,27.0,10.0,17.0,28.0,47.0,2.11,5.0,0.22,33.0,38.0,2.0,27.0,142.0,10.0,52.6,N/a,N/a,N/a,N/a
Christopher Nkunku,€51.3M,"2024-2025 Chelsea Stats
(Premier League)",fr FRA,FW,27,27.0,9.0,921.0,3.0,2.0,2.0,0.0,4.8,2.1,17.0,25.0,68.0,0.29,0.2,0.47,0.21,44.0,1.07,0.12,12.6,299.0,89.5,3928.0,91.6,92.2,100.0,14.0,16.0,7.0,0.0,25.0,448.0,10.0,52.0,183.0,217.0,52.0,8.0,37.0,51.9,280.0,1368.0,17.0,13.0,18.0,17.0,356.0,68.0,12.0,8.0,22.0,9.0,2.0,7.0,7.0,34.0,3.32,4.0,0.39,16.0,11.0,3.0,4.0,29.0,16.0,42.1,N/a,N/a,N/a,N/a
Bernardo Silva,€51.1M,"2024-2025 Manchester City Stats
(Premier League)",pt POR,"MF,FW",30,27.0,23.0,2131.0,2.0,4.0,6.0,0.0,3.0,4.2,84.0,99.0,169.0,0.08,0.17,0.13,0.18,33.3,0.38,0.07,13.0,1163.0,86.5,17580.0,91.6,87.7,66.3,42.0,54.0,27.0,7.0,99.0,1556.0,37.0,270.0,612.0,690.0,125.0,46.0,47.2,41.5,969.0,6251.0,84.0,30.0,18.0,30.0,1145.0,169.0,47.0,30.0,10.0,26.0,6.0,20.0,18.0,76.0,3.21,7.0,0.3,21.0,25.0,3.0,48.0,80.0,4.0,28.6,N/a,N/a,N/a,N/a
João Gomes,€51.1M,"2024-2025 Wolverhampton Wanderers Stats
(Premier League)",br BRA,MF,24,30.0,30.0,2511.0,3.0,1.0,10.0,1.0,2.6,1.1,50.0,141.0,62.0,0.11,0.04,0.09,0.04,21.9,0.25,0.09,18.3,1144.0,85.2,16520.0,90.9,86.0,61.2,20.0,47.0,21.0,1.0,141.0,1662.0,55.0,357.0,911.0,416.0,38.0,89.0,44.0,44.0,868.0,5084.0,50.0,6.0,32.0,45.0,1106.0,62.0,91.0,55.0,22.0,37.0,3.0,34.0,25.0,57.0,2.04,3.0,0.11,62.0,36.0,1.0,25.0,163.0,9.0,29.0,N/a,N/a,N/a,N/a
Dominic Solanke,€51M,"2024-2025 Tottenham Hotspur Stats
(Premier League)",eng ENG,FW,27,23.0,23.0,2028.0,7.0,3.0,0.0,0.0,9.9,2.9,29.0,45.0,85.0,0.31,0.13,0.44,0.13,39.3,0.98,0.13,12.2,245.0,71.8,3296.0,76.3,77.1,66.7,14.0,20.0,9.0,0.0,45.0,616.0,31.0,66.0,283.0,273.0,106.0,12.0,33.3,60.4,365.0,1975.0,29.0,14.0,65.0,45.0,431.0,85.0,18.0,11.0,54.0,17.0,7.0,10.0,0.0,37.0,1.64,8.0,0.36,36.0,35.0,5.0,4.0,35.0,41.0,43.2,N/a,N/a,N/a,N/a
Carlos Baleba,€51M,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",cm CMR,MF,21,28.0,25.0,2147.0,2.0,1.0,8.0,1.0,3.0,1.3,37.0,108.0,26.0,0.08,0.04,0.12,0.05,25.6,0.42,0.05,24.9,924.0,87.2,15641.0,92.6,91.0,64.0,20.0,37.0,22.0,2.0,108.0,1382.0,65.0,320.0,824.0,276.0,10.0,66.0,61.2,32.7,773.0,4545.0,37.0,2.0,33.0,32.0,834.0,26.0,65.0,35.0,21.0,39.0,8.0,31.0,39.0,60.0,2.52,4.0,0.17,36.0,42.0,0.0,7.0,159.0,37.0,63.8,N/a,N/a,N/a,N/a
Matthijs de Ligt,€50.8M,"2024-2025 Manchester United Stats
(Premier League)",nl NED,DF,25,28.0,24.0,2089.0,2.0,0.0,3.0,0.0,2.5,0.3,7.0,55.0,6.0,0.09,0.0,0.11,0.01,50.0,0.39,0.11,7.9,1225.0,90.1,21549.0,94.1,94.5,50.5,6.0,3.0,2.0,1.0,55.0,1584.0,181.0,813.0,722.0,56.0,29.0,32.0,50.0,50.0,1063.0,4696.0,7.0,0.0,5.0,3.0,1142.0,6.0,30.0,22.0,29.0,29.0,21.0,8.0,33.0,14.0,0.6,1.0,0.04,16.0,12.0,2.0,6.0,66.0,57.0,66.3,N/a,N/a,N/a,N/a
Pape Matar Sarr,€50.8M,"2024-2025 Tottenham Hotspur Stats
(Premier League)",sn SEN,MF,22,30.0,17.0,1511.0,3.0,2.0,6.0,0.0,3.2,1.5,29.0,75.0,43.0,0.18,0.12,0.19,0.09,42.9,0.71,0.11,21.3,769.0,87.2,11776.0,91.4,90.1,75.5,14.0,28.0,8.0,2.0,75.0,1059.0,32.0,225.0,597.0,255.0,23.0,22.0,44.0,48.0,674.0,3962.0,29.0,5.0,24.0,19.0,756.0,43.0,42.0,30.0,32.0,21.0,7.0,14.0,22.0,38.0,2.26,6.0,0.36,27.0,28.0,2.0,10.0,103.0,23.0,41.8,N/a,N/a,N/a,N/a
Adam Wharton,€49.3M,"2024-2025 Crystal Palace Stats
(Premier League)",eng ENG,MF,20,16.0,13.0,1088.0,0.0,1.0,2.0,0.0,0.3,2.8,11.0,100.0,10.0,0.0,0.08,0.02,0.23,50.0,0.41,0.0,25.0,469.0,77.1,8908.0,83.3,81.8,67.4,23.0,16.0,17.0,5.0,100.0,729.0,24.0,172.0,386.0,174.0,8.0,39.0,22.2,77.8,358.0,1627.0,11.0,2.0,13.0,12.0,453.0,10.0,33.0,14.0,15.0,10.0,2.0,8.0,16.0,52.0,4.31,5.0,0.41,10.0,18.0,0.0,29.0,81.0,7.0,31.8,N/a,N/a,N/a,N/a
Riccardo Calafiori,€49.3M,"2024-2025 Arsenal Stats
(Premier League)",it ITA,DF,22,17.0,11.0,925.0,2.0,1.0,4.0,0.0,0.9,0.3,21.0,54.0,29.0,0.19,0.1,0.08,0.03,60.0,0.58,0.2,14.1,449.0,85.4,6549.0,91.6,85.7,67.9,6.0,12.0,9.0,1.0,54.0,628.0,30.0,161.0,249.0,222.0,29.0,29.0,69.2,23.1,291.0,1572.0,21.0,3.0,11.0,5.0,377.0,29.0,26.0,18.0,13.0,12.0,6.0,6.0,9.0,13.0,1.26,2.0,0.19,16.0,6.0,3.0,11.0,30.0,22.0,62.9,N/a,N/a,N/a,N/a
